Session Title,Event Date,Shots,Score,Score %,Windage,Elevation,Mean Radius,Max Spread,Notes
"Session 1","16/03/2017","40","272-2x","68,00","-7.900","-7.862","29.632","116.257","Hämmerli P208"
"Session 2","23/03/2017","40","275","68,75","-2.922","-3.959","31.168","142.618","Hämmerli P208"
"Session 3","30/03/2017","40","302-3x","75,50","-10.446","13.905","18.294","79.376","Colt 22 Match Target"
"Session 4","06/04/2017","40","302-2x","75,50","-6.639","16.307","17.461","65.361","Erekorps Nico's Beretta 76"
"Session 5","13/04/2017","40","296","74,00","-7.016","-11.854","22.638","94.155","Colt 22"
"Session 6","11/05/2017","40","290-1x","72,50","-7.766","-18.328","20.643","78.342","Colt 22 "
"Session 7","18/05/2017","40","293-1x","73,25","6.201","-9.080","23.562","86.403","FN Browning (no 27)"
"Session 8","25/05/2017","40","277","69,25","1.316","-18.059","23.620","96.626","FN Browning (no 27)"
"Session 9","01/06/2017","40","287-1x","71,75","-0.718","-8.317","25.968","103.840","FN Browning (no 27)"
"Session 10","15/06/2017","40","299-2x","74,75","-8.536","10.581","21.960","93.647","Nico's Beretta 76"
"Session 11","22/06/2017","40","309-2x","77,25","-5.362","-4.240","22.141","83.426","Erekorps Colt 22"
"Session 12","29/06/2017","40","296-1x","74,00","-16.130","-9.165","19.040","89.873","Colt 22 "
"Session 13","06/07/2017","40","289-3x","72,25","-10.557","-5.931","24.768","100.798","Smith & Wesson .22 revolver "
"Session 14","20/07/2017","40","313-4x","78,25","-14.590","-6.050","17.921","78.528","FN Browning "
"Session 15","14/09/2017","40","248-1x","62,00","-5.498","25.913","27.364","109.072","Nico's Beretta"
"Session 16","28/09/2017","40","274-1x","68,50","-15.279","12.524","23.748","118.971","Nico's Beretta"
"Session 17","05/10/2017","40","292","73,00","6.376","10.886","23.805","94.767","Hammerli no 20"
"Session 18","12/10/2017","40","305-3x","76,25","-0.267","11.937","21.294","90.035","Erekorps Hämmerli no 20"
"Session 19","19/10/2017","40","314-3x","78,50","7.436","9.344","19.019","82.292","Hammerli 208s"
"Session 20","26/10/2017","40","304-2x","76,00","1.481","10.129","21.482","77.687","Hämmerli 208s no 20"
"Session 21","02/11/2017","40","312-2x","78,00","-6.817","5.496","21.290","97.569","Hammerli Zelfkennis / rangorde"
"Session 22","09/11/2017","40","319-1x","79,75","2.782","4.379","19.747","75.897","Hammerli 208 "
"Session 23","16/11/2017","40","312","78,00","0.691","13.331","18.469","73.411","Hammerli 208"
"Session 24","23/11/2017","40","297","74,25","-3.139","12.653","23.091","83.014","Hammerli 208 "
"Session 25","30/11/2017","40","313-3x","78,25","-1.215","10.283","21.183","87.256","Hammerli SP20 No 28"
"Session 26","07/12/2017","40","308-2x","77,00","-3.831","10.258","20.456","82.869",""
"Session 27","28/12/2017","40","279-2x","69,75","-2.959","19.211","23.067","100.487","Walther GSP"
"Session 28","11/01/2018","40","303-4x","75,75","10.840","6.249","21.360","72.740","Hämmerli 208s"
"Session 29","18/01/2018","40","309-1x","77,25","4.946","0.721","22.198","87.397","Hammerli 208 "
"Session 30","22/02/2018","40","346-3x","86,50","1.164","2.098","15.645","56.810","Hammerli 208s "
"Session 31","01/03/2018","40","315-2x","78,75","11.473","4.351","18.083","75.342","Harrie’s Hammerli"
"Session 32","15/03/2018","40","313-1x","78,25","9.003","3.075","20.475","86.137","Harry’s Hammerli"
"Session 33","29/03/2018","40","317-2x","79,25","2.933","8.961","19.012","71.061","Harriy's Hammerli "
"Session 34","05/04/2018","40","327-4x","81,75","-2.161","2.312","19.900","76.902","Hammerli 208 "
"Session 35","12/04/2018","40","347-4x","86,75","0.993","-1.968","14.364","50.946",""
"Session 36","19/04/2018","40","333-4x","83,25","4.782","2.993","17.502","73.467",""
